level,country,salid,cases,cases_per_1M,deaths,deaths_per_10M
L1,CO,104101,10948,57826,281,14842
L1,CO,104102,495202,129819,11290,29597
L1,CO,104103,251662,121307,8988,43324
L1,CO,104104,102744,93481,2070,18834
L1,CO,104105,24552,110751,381,17186
L1,CO,104106,65403,143016,1182,25847
L1,CO,104107,14524,81390,632,35416
L1,CO,104108,17504,119725,441,30164
L1,CO,104109,25447,90093,517,18304
L1,CO,104110,53976,114054,1376,29075
L1,CO,104111,9086,78288,233,20076
L1,CO,104112,41415,91236,1605,35358
L1,CO,104113,1312142,138723,29210,30882
L1,CO,104114,44788,117978,1423,37484
L1,CO,104115,16614,59791,394,14179
L1,CO,104116,61416,96567,2254,35440
L1,CO,104117,47333,93541,1239,24486
L1,CO,104118,40386,89618,1354,30046
L1,CO,104119,54550,65428,2923,35059
L1,CO,104120,39719,105050,1265,33457
L1,CO,104121,66336,88476,1849,24661
L1,CO,104122,19443,101469,675,35227
L1,CO,104123,131794,115440,4395,38496
L1,CO,104124,28398,100393,851,30085
L1,CO,104125,60410,107095,1690,29961
L1,CO,104126,7874,18938,455,10944
L1,CO,104127,226403,82280,7207,26192
L1,CO,104128,8462,63319,371,27761
L1,CO,104129,17609,57048,926,30000
L1,CO,104130,11504,53107,544,25113
L1,CO,104131,17116,118194,485,33491
L1,CO,104132,12256,84355,488,33588
L1,CO,104133,12479,89260,563,40270
L1,CO,104134,8473,73808,287,25000
L1,CO,104135,15756,122398,459,35657
L1,CO,CO888,622873,29625,25265,12016
L1,GT,203101,3570,21836,188,11499
L1,GT,203102,134329,40799,4214,12799
L1,GT,203103,13672,46308,403,13650
L1,GT,GT888,130168,9190,3884,2742
L1,MX,204101,17325,16417,1826,17303
L1,MX,204102,7672,13919,1113,20193
L1,MX,204103,16812,15551,2875,26594
L1,MX,204104,15861,6785,3453,14772
L1,MX,204105,13896,55926,578,23262
L1,MX,204106,4044,14723,462,16820
L1,MX,204107,3050,11286,428,15837
L1,MX,204108,11786,12631,1329,14243
